"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Ben Mee","Brentford","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p51927.png",0,-0.7,4.8,2.4,1.5,22,672,1,1,0,13,0,0,0,0,1,0,3,156.4,68.6,63,28.8,0.06,0,0.07,0.13,1.49,1.74,1.07,0,8,"Not recommended"
"Ethan Pinnock","Brentford","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p231065.png",1,0.7,4.6,2.6,3.4,50,1710,1,0,3,31,0,0,0,0,0,0,5,457.4,58,176,69.4,0.08,0,0.04,0.12,1.33,1.63,1,0.16,5,"Can be alternative"
"Mads Roerslev Rasmussen","Brentford","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p226956.png",4,2,4.4,1.6,0.1,24,728,0,1,1,16,0,0,0,0,0,0,0,147.6,126.5,17,29.3,0.01,0,0.06,0.07,1.63,1.98,0.99,0.12,8,"Not recommended"
"Mathias Jorgensen","Brentford","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p48760.png",1,0.7,4.3,1,0.1,4,187,0,0,0,5,0,0,0,0,0,0,0,39.4,19.3,0,5.9,0,0,0.07,0.07,1.26,2.41,0.96,0,4,"Not recommended"
"Lewis Dunk","Brighton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p83299.png",0,0.8,5,1.4,2.7,23,1416,1,0,0,28,0,0,0,4,1,0,1,369.2,96.8,198,66.4,0.15,0,0.1,0.25,1.67,1.78,1.02,0,8,"Not recommended"
"Pervis Estupiñán","Brighton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p204214.png",6,3,5,4.6,24.7,37,630,2,3,1,12,1,0,0,2,0,0,5,232.2,206.1,117,55.5,0.13,0,0.22,0.35,1.89,1.71,1,0.14,5,"Can be alternative"
"Tariq Lamptey","Brighton","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p232792.png",0,0,3.9,1.8,3.9,9,171,0,2,0,6,0,0,0,2,0,0,0,44,31.1,7,8.2,0.01,0,0.05,0.06,1.15,3.16,1.05,0,4,"Not recommended"
"Jan Paul van Hecke","Brighton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p469142.png",8,3,4,1.9,2.2,29,1198,0,0,1,17,0,0,0,2,0,0,3,344.8,64.7,78,48.9,0.05,0,0.02,0.07,1.41,1.28,0.98,0.08,8,"Not recommended"
"Joël Veltman","Brighton","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p111478.png",0,0.2,4.3,1.2,0.5,20,908,0,1,0,20,0,0,0,1,0,0,0,180.4,55.3,49,28.5,0.02,0,0.03,0.05,1.61,1.98,0.89,0,4,"Not recommended"
"Adam Webster","Brighton","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p110735.png",6,1.5,4.2,1.6,0.2,11,613,0,0,1,13,1,0,0,1,0,0,0,125.4,30.4,23,18,0.05,0,0.02,0.07,1.62,1.91,1.03,0.15,1,"Not recommended"
"Igor Julio dos Santos de Paulo","Brighton","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p223434.png",0,0.8,4.3,1.2,0.1,13,702,0,0,0,12,0,0,0,3,0,0,1,133.4,67.3,10,21.1,0.01,0,0.02,0.03,1.43,1.54,1.03,0,4,"Not recommended"
"Ameen Al-Dakhil","Burnley","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p487968.png",0,0.2,3.8,0.9,0.8,10,875,0,0,0,22,1,0,0,1,0,0,0,121.2,30.9,34,18.6,0.02,0,0.05,0.07,1.85,2.26,1.03,0,1,"Not recommended"
